filename|raw_text|normalized_text
000000_RUSLAN|С тревожным чувством берусь я за перо.|С тревожным чувством берусь я за перо.
000001_RUSLAN|Кого интересуют признания литературного неудачника?|Кого интересуют признания литературного неудачника?
000002_RUSLAN|Что поучительного в его исповеди?|Что поучительного в его исповеди?
000003_RUSLAN|Да и жизнь моя лишена внешнего трагизма.|Да и жизнь моя лишена внешнего трагизма.
000004_RUSLAN|Я абсолютно здоров.|Я абсолютно здоров.
000005_RUSLAN|У меня есть любящая родня.|У меня есть любящая родня.
000006_RUSLAN|Мне всегда готовы предоставить работу, которая обеспечит нормальное биологическое существование.|Мне всегда готовы предоставить работу, которая обеспечит нормальное биологическое существование.
000007_RUSLAN|Мало того, я обладаю преимуществами.|Мало того, я обладаю преимуществами.
000008_RUSLAN|Мне без труда удается располагать к себе людей.|Мне без труда удается располагать к себе людей.
000009_RUSLAN|Я совершил десятки поступков, уголовно наказуемых и оставшихся безнаказанными.|Я совершил десятки поступков, уголовно наказуемых и оставшихся безнаказанными.
000011_RUSLAN|Наконец, у меня есть собака.|Наконец, у меня есть собака.
000012_RUSLAN|А это уже излишество.|А это уже излишество.
000013_RUSLAN|Тогда почему же я ощущаю себя на грани физической катастрофы?|Тогда почему же я ощущаю себя на грани физической катастрофы?
000014_RUSLAN|Откуда у меня чувство безнадежной жизненной непригодности?|Откуда у меня чувство безнадежной жизненной непригодности?
000015_RUSLAN|В чем причина моей тоски?|В чем причина моей тоски?
000016_RUSLAN|Я хочу в этом разобраться.|Я хочу в этом разобраться.
000017_RUSLAN|Постоянно думаю об этом.|Постоянно думаю об этом.
000018_RUSLAN|Мечтаю и надеюсь вызвать признак счастья.|Мечтаю и надеюсь вызвать признак счастья.
000019_RUSLAN|Мне жаль, что прозвучало это слово.|Мне жаль, что прозвучало это слово.
000020_RUSLAN|Ведь представления, которые оно рождает, безграничны до нуля.|Ведь представления, которые оно рождает, безграничны до нуля.
000021_RUSLAN|Я знал человека, всерьез утверждавшего, что он будет абсолютно счастлив, если жилконтора заменит ему фановую трубу.|Я знал человека, всерьез утверждавшего, что он будет абсолютно счастлив, если жилконтора заменит ему фановую трубу.
000022_RUSLAN|Суетное чувство тревожит меня.|Суетное чувство тревожит меня.
000023_RUSLAN|Ага, подумают, возомнил себя непризнанным гением!|Ага, подумают, возомнил себя непризнанным гением!
000025_RUSLAN|Я выслушал сотни, тысячи откликов на мои рассказы.|Я выслушал сотни, тысячи откликов на мои рассказы.
000026_RUSLAN|И никогда, ни в единой, самой убогой, самой фантастической петербургской компании меня не объявляли гением.|И никогда, ни в единой, самой убогой, самой фантастической петербургской компании меня не объявляли гением.
000027_RUSLAN|Даже когда объявляли таковыми Горецкого и Харитоненко.|Даже когда объявляли таковыми Горецкого и Харитоненко.
000028_RUSLAN|Горецкий автор романа, представляющего собой девять листов засвеченной фотобумаги.|Горецкий автор романа, представляющего собой девять листов засвеченной фотобумаги.
000029_RUSLAN|Главное же действующее лицо наиболее зрелого романа Харитоненко презерватив.|Главное же действующее лицо наиболее зрелого романа Харитоненко презерватив.
000030_RUSLAN|Тринадцать лет назад я взялся за перо.|Тринадцать лет назад я взялся за перо.
000031_RUSLAN|Написал роман, семь повестей и четыреста коротких вещей.|Написал роман, семь повестей и четыреста коротких вещей.
000032_RUSLAN|На ощупь побольше, чем Гоголь!|На ощупь побольше, чем Гоголь!
000033_RUSLAN|Я убежден, что мы с Гоголем обладаем равными авторскими правами.|Я убежден, что мы с Гоголем обладаем равными авторскими правами.
000034_RUSLAN|Обязанности разные.|Обязанности разные.
000035_RUSLAN|Как минимум, одним неотъемлемым правом.|Как минимум, одним неотъемлемым правом.
000036_RUSLAN|Правом обнародовать написанное.|Правом обнародовать написанное.
